Mev_period0,Mev_period1,Mev_period2,Mev_period3,gas_fees_period0,gas_fees_period1,gas_fees_period2,gas_fees_period3,price_volitility_period0,price_volitility_period1,price_volitility_period2,price_volitility_period3
0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,1.981544269994411911e-01,6.836385448006414567e-01,7.703256186652578386e-01,2.775864492232018588e-01,9.469739335808847747e-01,9.606875871475211159e-01,6.004406994039901413e-01,9.772474999198815793e-01
0.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,6.836385448006414567e-01,7.703256186652578386e-01,2.775864492232018588e-01,6.364981195416050674e-01,9.606875871475211159e-01,6.004406994039901413e-01,9.772474999198815793e-01,4.473485926389131340e-02
2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.703256186652578386e-01,2.775864492232018588e-01,6.364981195416050674e-01,6.774496364906840151e-01,6.004406994039901413e-01,9.772474999198815793e-01,4.473485926389131340e-02,1.659260282465607750e-01
3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.775864492232018588e-01,6.364981195416050674e-01,6.774496364906840151e-01,6.317304967886012701e-01,9.772474999198815793e-01,4.473485926389131340e-02,1.659260282465607750e-01,2.191649711305551085e-01
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,6.364981195416050674e-01,6.774496364906840151e-01,6.317304967886012701e-01,2.781433583149215405e-01,4.473485926389131340e-02,1.659260282465607750e-01,2.191649711305551085e-01,1.144422878337110205e-01
1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,6.774496364906840151e-01,6.317304967886012701e-01,2.781433583149215405e-01,2.077644754241103620e-01,1.659260282465607750e-01,2.191649711305551085e-01,1.144422878337110205e-01,3.831876376273912754e-02
0.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,6.317304967886012701e-01,2.781433583149215405e-01,2.077644754241103620e-01,1.747313935380409022e-01,2.191649711305551085e-01,1.144422878337110205e-01,3.831876376273912754e-02,6.444188165740426522e-01
2.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,2.781433583149215405e-01,2.077644754241103620e-01,1.747313935380409022e-01,7.012961530518818654e-01,1.144422878337110205e-01,3.831876376273912754e-02,6.444188165740426522e-01,2.318791174421068746e-01
2.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,2.077644754241103620e-01,1.747313935380409022e-01,7.012961530518818654e-01,5.078684086924100116e-01,3.831876376273912754e-02,6.444188165740426522e-01,2.318791174421068746e-01,2.731973965331671028e-01
3.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,1.747313935380409022e-01,7.012961530518818654e-01,5.078684086924100116e-01,6.663078094615019209e-01,6.444188165740426522e-01,2.318791174421068746e-01,2.731973965331671028e-01,4.100020804207658021e-01
2.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,7.012961530518818654e-01,5.078684086924100116e-01,6.663078094615019209e-01,2.543347492754902683e-01,2.318791174421068746e-01,2.731973965331671028e-01,4.100020804207658021e-01,2.533640780951916804e-01
2.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,5.078684086924100116e-01,6.663078094615019209e-01,2.543347492754902683e-01,9.781949118724420078e-01,2.731973965331671028e-01,4.100020804207658021e-01,2.533640780951916804e-01,1.724172370517028652e-01
3.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,6.663078094615019209e-01,2.543347492754902683e-01,9.781949118724420078e-01,2.287606472411617409e-01,4.100020804207658021e-01,2.533640780951916804e-01,1.724172370517028652e-01,7.904001756190157657e-01
3.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,2.543347492754902683e-01,9.781949118724420078e-01,2.287606472411617409e-01,4.656699806126811669e-01,2.533640780951916804e-01,1.724172370517028652e-01,7.904001756190157657e-01,9.433431438142405590e-01
3.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,9.781949118724420078e-01,2.287606472411617409e-01,4.656699806126811669e-01,1.373528226303188937e-02,1.724172370517028652e-01,7.904001756190157657e-01,9.433431438142405590e-01,6.237122110903747796e-02
1.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,2.287606472411617409e-01,4.656699806126811669e-01,1.373528226303188937e-02,2.269949810524409806e-01,7.904001756190157657e-01,9.433431438142405590e-01,6.237122110903747796e-02,5.837757562758016938e-01
3.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,4.656699806126811669e-01,1.373528226303188937e-02,2.269949810524409806e-01,6.712853590647104296e-01,9.433431438142405590e-01,6.237122110903747796e-02,5.837757562758016938e-01,1.545894323491299183e-01
2.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,1.373528226303188937e-02,2.269949810524409806e-01,6.712853590647104296e-01,5.384570793008243150e-01,6.237122110903747796e-02,5.837757562758016938e-01,1.545894323491299183e-01,3.238380975532301198e-01
3.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.269949810524409806e-01,6.712853590647104296e-01,5.384570793008243150e-01,9.150911913268168218e-01,5.837757562758016938e-01,1.545894323491299183e-01,3.238380975532301198e-01,2.321017441302791751e-01
3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.712853590647104296e-01,5.384570793008243150e-01,9.150911913268168218e-01,9.869713602653121809e-01,1.545894323491299183e-01,3.238380975532301198e-01,2.321017441302791751e-01,2.890631078941698906e-01
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.384570793008243150e-01,9.150911913268168218e-01,9.869713602653121809e-01,3.397846190927360510e-01,3.238380975532301198e-01,2.321017441302791751e-01,2.890631078941698906e-01,8.311856865651265913e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.150911913268168218e-01,9.869713602653121809e-01,3.397846190927360510e-01,6.118432431872419253e-01,2.321017441302791751e-01,2.890631078941698906e-01,8.311856865651265913e-01,5.047294471050984832e-01
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,9.869713602653121809e-01,3.397846190927360510e-01,6.118432431872419253e-01,4.339938276980679355e-01,2.890631078941698906e-01,8.311856865651265913e-01,5.047294471050984832e-01,7.804034205251132450e-01
1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,3.397846190927360510e-01,6.118432431872419253e-01,4.339938276980679355e-01,8.710431233963963349e-01,8.311856865651265913e-01,5.047294471050984832e-01,7.804034205251132450e-01,9.687920848751068181e-01
0.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,6.118432431872419253e-01,4.339938276980679355e-01,8.710431233963963349e-01,2.848475462314248308e-01,5.047294471050984832e-01,7.804034205251132450e-01,9.687920848751068181e-01,2.934272193125520012e-02
2.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,4.339938276980679355e-01,8.710431233963963349e-01,2.848475462314248308e-01,5.587720353020566577e-01,7.804034205251132450e-01,9.687920848751068181e-01,2.934272193125520012e-02,2.889483763885503098e-02
2.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,8.710431233963963349e-01,2.848475462314248308e-01,5.587720353020566577e-01,5.514971175155597427e-01,9.687920848751068181e-01,2.934272193125520012e-02,2.889483763885503098e-02,6.867547485097733606e-01
2.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,2.848475462314248308e-01,5.587720353020566577e-01,5.514971175155597427e-01,4.388284008667184821e-01,2.934272193125520012e-02,2.889483763885503098e-02,6.867547485097733606e-01,1.936361879814609832e-01
3.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,5.587720353020566577e-01,5.514971175155597427e-01,4.388284008667184821e-01,6.361922364640431038e-01,2.889483763885503098e-02,6.867547485097733606e-01,1.936361879814609832e-01,5.391602556311180239e-01
